id,performance_id,component_index,component_name,factor,panel_score,judges_scores
219,73,3,Skating Skills,2.67,7.93,"7.75,7.75,7.50,8.00,8.25,8.00,7.75,8.00,8.25"
220,74,1,Composition,2.67,7.93,"8.25,8.00,7.50,7.75,8.00,7.75,7.50,8.25,8.25"
221,74,2,Presentation,2.67,7.82,"8.00,8.00,7.25,7.50,7.50,8.00,7.75,8.00,8.25"
222,74,3,Skating Skills,2.67,7.89,"8.00,8.00,7.50,7.75,7.75,8.00,8.00,7.75,8.00"
223,75,1,Composition,2.67,7.93,"7.75,8.50,7.50,8.00,8.50,7.50,7.75,7.50,8.50"
224,75,2,Presentation,2.67,7.79,"7.50,8.00,7.25,7.75,8.00,7.75,7.75,7.75,8.50"
225,75,3,Skating Skills,2.67,8.04,"7.75,8.00,7.75,8.25,8.25,7.75,8.25,8.00,8.50"
226,76,1,Composition,2.67,7.57,"7.00,6.75,7.50,7.75,8.00,7.50,7.50,8.00,7.75"
227,76,2,Presentation,2.67,7.57,"7.25,7.50,7.50,7.50,7.50,7.50,7.75,8.00,7.75"
228,76,3,Skating Skills,2.67,7.75,"7.50,7.25,7.75,7.50,7.75,7.75,8.25,8.25,7.75"
229,77,1,Composition,2.67,7.0,"7.50,6.75,6.75,7.50,6.50,6.75,6.75,7.25,7.25"
230,77,2,Presentation,2.67,7.07,"7.25,7.25,6.50,7.25,6.75,6.50,7.25,7.50,7.25"
231,77,3,Skating Skills,2.67,6.93,"7.25,6.75,6.75,7.25,7.00,6.75,6.75,6.50,7.25"
232,78,1,Composition,2.67,7.36,"7.50,7.75,7.50,7.00,7.50,7.25,7.25,7.00,7.50"
233,78,2,Presentation,2.67,7.25,"7.25,7.00,7.50,6.75,7.50,7.00,7.50,7.00,7.75"
234,78,3,Skating Skills,2.67,7.61,"7.75,7.50,7.25,6.75,7.75,7.50,7.75,7.75,7.75"
235,79,1,Composition,2.67,7.29,"7.00,7.25,6.75,7.75,7.50,7.50,6.50,7.25,8.00"
236,79,2,Presentation,2.67,7.04,"6.25,7.00,6.50,7.25,7.25,7.25,7.25,6.75,8.00"
237,79,3,Skating Skills,2.67,7.54,"7.50,7.50,7.25,7.50,7.75,7.50,7.50,7.50,7.75"
238,80,1,Composition,2.67,7.32,"6.75,8.00,7.25,7.25,7.25,7.50,6.75,7.50,7.75"
239,80,2,Presentation,2.67,7.43,"7.50,7.75,6.75,7.00,7.50,7.25,7.25,7.75,7.75"
240,80,3,Skating Skills,2.67,7.46,"7.00,7.50,7.00,7.50,7.75,7.25,7.75,7.75,7.50"
